SYMBOL,DESCRIPTION,cik
FMN,FEDERATED HERMES PREMIER MUNIC,CIK0001199004
FENC,"FENNEC PHARMACEUTICALS, INC. O",CIK0001211583
FLFV,FEUTUNE LT ACQUISITION CORP CL,CIK0001912582
FDBC,FIDELITY D & D BANCOR INC,CIK0001098151
FISI,FINANCIAL INSTITUTIONS INC,CIK0000862831
FNCH,FINCH THERAPEUTICS GROUP INC,CIK0001733257
FAF,FIRST AMERICAN FINANCIAL CORPO,CIK0001472787
BUSE,FIRST BUSEY CORP COM NEW,CIK0000314489
FCNCA,FIRST CITIZENS BKCSHARES CL-A ,CIK0000798941
FCNCO,"FIRST CITIZENS BANCSHARES, INC",CIK0000798941
FHB,FIRST HAWAIIAN INC COM,CIK0000036377
FHN,FIRST HORIZON CORPORATION,CIK0000036966
FNRN,FIRST NORTHERN COMMUNITY BANCP,CIK0001114927
FSEA,FIRST SEACOAST BANCORP INC COM,CIK0001769267
FAM,FIRST TRUST/ABRDN GLOBAL OPPOR,CIK0001302624
FGB,FIRST TRUST SPECIALTY FINANCE ,CIK0001392994
FIF,FIRST TR ENERGY INFRASTRUCTURE,CIK0001513789
MYFW,FIRST WESTN FINL INC COM (CO) ,CIK0001327607
NOTE,FISCALNOTE HLDGS INC COM CL A ,CIK0001823466
FCFS,FIRSTCASH HLDGS INC,CIK0000840489
FISV,FISERV INC,CIK0000798354
FIVE,FIVE BELOW INC COM STK (PA),CIK0001177609
FFC,FLAHERTY & CRUMRINE PFD AND SE,CIK0001174164
PFO,FLAHERTY & CRUMRINE PFD AND IN,CIK0000882071
FSI,FLEXIBLE SOLUTIONS INT'L INC,CIK0001069394
FLXS,FLEXSTEEL INDUSTRIES INC,CIK0000037472
FLR,FLUOR CORPORATION (NEW),CIK0001124198
FRGE,FORGE GLOBAL HLDGS INC COM,CIK0001827821
FORA,FORIAN INC,CIK0001829280
FORM,FORMFACTOR INC,CIK0001039399
FORR,FORRESTER RESEARCH INC,CIK0001023313
FBIO,FORTRESS BIOTECH INC,CIK0001429260
FBIOP,FORTRESS BIOTECH INC CUM RED P,CIK0001429260
FORD,FORWARD INDUSTRIES INC,CIK0000038264
FRG,FRANCHISE GROUP INC CL A,CIK0001528930
FRAF,FRANKLIN FINL SERVICE CORP,CIK0000723646
FRHC,FREEDOM HLDG CORP NEV COM,CIK0000924805
FCX,FREEPORT-MCMORAN INC COM STK C,CIK0000831259
FMS,FRESENIUS MED CARE AG & CO. KG,CIK0001333141
FREQ,FREQUENCY THERAPEUTICS INC,CIK0001703647
FUBO,FUBOTV INC COM,CIK0001484769
FLL,FULL HOUSE RESORTS INC,CIK0000891482
FUL,FULLER H B CO,CIK0000039368
FTFT,FUTURE FINTECH GROUP INC COM N,CIK0001066923
FTIIW,FUTURETECH II ACQUISITION CORP,CIK0001889450
GDL,"GDL FUND, THE COM SHS OF BEN I",CIK0001378701
JOB,GEE GROUP INC COM STK (IL),CIK0000040570
GSIT,GSI TECHNOLOGY COM STK (DE),CIK0001126741
GTBP,GT BIOPHARMA INC COM NEW,CIK0000109657
GZIC,GZ6G TECHNOLOGIES CORP COM,CIK0001286648
GXO,GXO LOGISTICS INC COM,CIK0001852244
GAIA,GAIA INC NEW CL-A,CIK0001089872
GLXZ,GALAXY GAMING INC COM ST NEW (,CIK0000013156
GAXY,GALAXY NEXT GENERATION INC COM,CIK0001127993
GGN,GAMCO GLOBAL GOLD NAT RES & IN,CIK0001313510
GDNRW,GARDINER HEALTHCARE ACQ CORP R,CIK0001858912
GSAC,GELSTAT CORPORATION,CIK0000890725
GM,GENERAL MOTORS COMPANY COM STK,CIK0001467858
GMAB,GENMAB A/S ADS (SPONSORED) (DN,CIK0001434265
GPJA,GEORGIA PWR CO JR SUB NT SER 2,CIK0000041091
GEOS,GEOSPACE TECHNOLOGIES CORP COM,CIK0001001115
GGB,GERDAU S.A. ADS (REPTG 1 PREF ,CIK0001073404
GERN,GERON CORP,CIK0000886744
ROCK,GIBRALTAR INDUSTRIES INC,CIK0000912562
GILD,GILEAD SCIENCES INC,CIK0000882095
GTLB,GITLAB INC COM,CIK0001653482
GAINZ,GLADSTONE INVT CORP NT DTD08/1,CIK0001321741
GPN,GLOBAL PAYMENTS INC,CIK0001123360
GDSI,GLOBAL DIGITAL SOLUTIONS INC,CIK0001011662
GWRS,GLOBAL WTR RES INC (DE),CIK0001434728
GMRE,GLOBAL MED REIT INC,CIK0001533615
GMED,GLOBUS MED INC CL A NEW,CIK0001237831
GL,GLOBE LIFE INC COM (DE),CIK0000320335
GOL,GOL LINHAS AEREAS INTELIGENTES,CIK0001291733
GROY,GOLD RTY CORP CDA COM,CIK0001834026
GDEN,GOLDEN ENTMT INC COM STK (MN) ,CIK0001071255
AUMN,Golden Minerals Co. Common Sto,CIK0001011509
GS,GOLDMAN SACHS GROUP INC,CIK0000886982
GER,GOLDMAN SACHS MLP ENG RENAISSA,CIK0001612875
GBDC,GOLUB CAP BDC INC COM STK (DE),CIK0001476765
GT,GOODYEAR TIRE&RUBR;COM NPV,CIK0000042582
GHIX,GORES HLDGS IX INC CL A (DE),CIK0001894630
GRC,GORMAN RUPP COMPANY,CIK0000042682
EAF,GRAFTECH INTL LTD COM,CIK0000931148
GWW,GRAINGER W.W.INC,CIK0000277135
GVA,GRANITE CONSTRUCTION INC,CIK0000861459
GLDD,GREAT LAKES DREDGE & DOCK CORP,CIK0001372020
GRBK,GREEN BRICK PARTNERS INC COMMO,CIK0001373670
GCBC,GREENE COUNTY BANCORP INC,CIK0001070524
GEF,"GREIF, INC. CL-A",CIK0000043920
GLGI,GREYSTONE LOGISTICS INC COM,CIK0001088413
GPI,"GROUP 1 AUTOMOTIVE,INC",CIK0001031203
UPXI,UPEXI INC COM,CIK0001775194
GGAL,GRUPO FINANCIERO GALICIA SA,CIK0001114700
GUG,GUGGENHEIM ACTIVE ALLOCATION F,CIK0001864208
GYRO,GYRODYNE LLC COM STK (NY),CIK0001589061
HFFG,HF FOODS GROUP INC,CIK0001680873
HCKT,HACKETT GROUP INC (THE) COM ST,CIK0001057379
HAIN,HAIN CELESTIAL GROUP INC.(THE),CIK0000910406
HLN,HALEON PLC ADR (GBR),CIK0001900304
HALO,HALOZYME THERAPEUTICS INC,CIK0001159036
HWC,HANCOCK WHITNEY CORPORATION CO,CIK0000750577
HTY,HANCOCK JOHN INVT TR TAX ADVAN,CIK0001396502
THG,HANOVER INSURANCE GROUP INC (T,CIK0000944695
HCDIP,HARBOR CUSTOM DEV INC CUM CONV,CIK0001784567
HROWL,HARROW HEALTH INC SR NT 04/30/,CIK0001360214
HAS,HASBRO INC,CIK0000046080
HCP,HASHICORP INC CL A (DE),CIK0001720671
HA,"HAWAIIAN HOLDINGS, INC.",CIK0001172222
HAYN,HAYNES INT'L INC (NEW),CIK0000858655
HCAT,HEALTH CATALYST INC COM,CIK0001636422
HQY,HEALTHEQUITY INC COM STK,CIK0001428336
HTLFP,HEARTLAND FINL USA INC DEP SHS,CIK0000920112
HEPA,HEPION PHARMACEUTICALS INC,CIK0001583771
HTBK,HERITAGE COMMERCE CORP.,CIK0001053352
HRTX,HERON THERAPEUTICS INC NEW COM,CIK0000818033
CUBA,HERZFELD CARIBBEAN BASIN FUND ,CIK0000880406
HSKA,HESKA CORPORATION COM,CIK0001038133
HXL,HEXCEL CORP (NEW),CIK0000717605
PCF,HIGH INCOME SECS FD SH BEN INT,CIK0000810943
HWNI,HIGH WIRE NETWORKS INC COM (US,CIK0001413891
HI,HILLENBRAND INC COM,CIK0001417398
HLMN,HILLMAN SOLUTIONS CORP COM (DE,CIK0001822492
HLT,HILTON WORLDWIDE HLDGS INC COM,CIK0001585689
HRT,HIRERIGHT HLDGS CORP COM,CIK0001859285
HCMLY,HOLCIM LTD NEW ADR (SWITZERLAN,CIK0000948696
HBCP,"HOME BANCORP, INC. COM",CIK0001436425
HMPT,HOME PT CAP INC,CIK0001830197
HPLT,HOME PLATE ACQ.CORP CL A COM (,CIK0001863181
HTFC,HORIZON TECHNOLOGY FIN CORP SR,CIK0001487428
HUBG,HUB GROUP INC CL-A,CIK0000940942
HUBB,HUBBELL INC CL-B,CIK0000048898
HSON,HUDSON GLOBAL INC COM NEW,CIK0001210708
HUM,HUMANA INC,CIK0000049071
HGEN,HUMANIGEN INC COM NEW,CIK0001293310
HBAN,HUNTINGTON BANCSHARES INC,CIK0000049196
HURC,HURCO COMPANIES INC,CIK0000315374
HYMCW,HYCROFT MNG HLDG CORP,CIK0001718405
HYMCL,HYCROFT MNG HLDG CORP,CIK0001718405
HYLN,HYLIION HLDGS CORP CL A,CIK0001759631
ICFI,"ICF INTERNATIONAL, INC.",CIK0001362004
ICAD,ICAD INC COM STK (DE),CIK0000749660
CRGY,CRESCENT ENERGY COMPANY CLASS ,CIK0001866175
IOBT,IO BIOTECH INC COM,CIK0001865494
ISPC,ISPECIMEN INC COM (DE),CIK0001558569
ITCB,ITAU CORPBANCA SPONSORED ADR,CIK0001276671
IAG,IAMGOLD CORP,CIK0001203464
IBIO,IBIO INC COM PAR $0.001,CIK0001420720
IBN,ICICI BANK LTD ADS(RP 2EQTY SH,CIK0001103838
ICNB,ICONIC BRANDS INC COM PAR $0.0,CIK0001350073
IDA,IDACORP INC (HOLDING CO),CIK0001057877
IMBI,IMEDIA BRANDS INC COM NEW,CIK0000870826
IMUX,IMMUNIC INC COM (DE),CIK0001280776
IMMP,IMMUTEP LTD SPONSORED ADR (AUS,CIK0001506184
IMPL,IMPEL PHARMACEUTICALS INC,CIK0001445499
IGTA,INCEPTION GROWTH ACQUISITION L,CIK0001866838
INQD,INDOOR HARVEST CORP,CIK0001572565
INDT,INDUS RLTY TR INC (MD),CIK0001037390
ITAQU,INDUSTRIAL TECH ACQ I COM CL A,CIK0001841586
INFI,INFINITY PHARMACEUTICALS INC C,CIK0001113148
INAB,IN8BIO INC COM (DE),CIK0001740279
NGVT,INGEVITY CORP COM,CIK0001653477
IMKTA,INGLES MARKETS INC CL-A,CIK0000050493
INGR,INGREDION INC COM,CIK0001046257
NSIT,INSIGHT ENTERPRISES INC,CIK0000932696
IOSP,"INNOSPEC, INC.",CIK0001054905
ISSC,INNOVATIVE SLTS & SUPPORT INC ,CIK0000836690
INSP,INSPIRE MED SYS INC COM,CIK0001609550
NSP,INSPERITY INC,CIK0001000753
INGN,INOGEN INC COM STK (DE),CIK0001294133
IBP,INSTALLED BUILDING PRODUCTS IN,CIK0001580905
INSI,INSIGHT SELECT INCOME FD COM (,CIK0000030125
INMB,INMUNE BIO INC COM ACCD INV,CIK0001711754
TIL,INSTIL BIO INC COM (DE),CIK0001789769
ISPOW,INSPIRATO INC WT EXP 02/09/27 ,CIK0001820566
NTLA,INTELLIA THERAPEUTICS INC COM ,CIK0001652130
INTA,INTAPP INC COM,CIK0001565687
TILE,INTERFACE INC COM STK,CIK0000715787
IBOC,INTL BANCSHARES CORP (TX),CIK0000315709
IBM,INTL BUSINESS MACHINES CORP,CIK0000051143
IFF,INTL FLAVORS & FRAGRANCES,CIK0000051253
IMXI,INTERNATIONAL MONEY EXPRESS IN,CIK0001683695
IPG,INTERPUBLIC GROUP COS INC,CIK0000051644
INTT,INTEST CORPORATION,CIK0001036262
ISRG,INTUITIVE SURGICAL INC,CIK0001035267
INTZ,INTRUSION INC NEW,CIK0000736012
IVT,INVENTRUST PPTYS CORP,CIK0001307748
VLT,INVESCO HIGH INCOME TR II COM ,CIK0000846671
VVR,INVESCO SR INCOME TR COM BEN I,CIK0001059386
VKI,INVESCO ADVANTAGE MUN INC TR I,CIK0000908993
ISTR,INVESTAR HLDG CORP COM STK (LA,CIK0001602658
FXF,INVESCO CURRENCYSHARES SWISS F,CIK0001353615
FXC,INVESCO CURRENCYSHARES CANADIA,CIK0001353612
FXY,INVESCO CURRENCYSHARES JAPANES,CIK0001353613
DBE,INVESCO DB MULTI-SECTOR CMDT T,CIK0001383062
UUP,INVESCO DB US DOLLAR INDEX TR ,CIK0001383151
INVH,INVITATION HOMES INC COM,CIK0001687229
IRMD,IRADIMED CORP COM,CIK0001325618
IQV,IQVIA HOLDINGS INC (DE),CIK0001478242
IRIX,IRIDEX CORP,CIK0001006045
ISBA,ISABELLA BANK CORPORATION COM ,CIK0000842517
GSG,ISHARES S&P GSCI CMDITY-INDEXE,CIK0001332174
ISDR,ISSUER DIRECT CORPORATION COMM,CIK0000843006
ISUN,ISUN INC,CIK0001634447
IVDA,IVEDA SOLUTIONS INC,CIK0001397183
JBL,JABIL INC,CIK0000898293
JANX,JANUX THERAPEUTICS INC,CIK0001817713
JBI,JANUS INTL GROUP INC COM (DE) ,CIK0001839839
JEF,JEFFERIES FINL GROUP INC COM,CIK0000096223
JRONY,Jeronimo Martins SGPS SA Unspo,CIK0001438077
JFIN,JIAYIN GROUP INC SPONSORED ADS,CIK0001743102
JMSB,JOHN MARSHALL BANCOR,CIK0001710482
JNJ,JOHNSON AND JOHNSON,CIK0000200406
JNPR,JUNIPER NETWORKS INC,CIK0001043604
KVSA,KHOSLA VENTURES ACQUISITION CO,CIK0001841873
KLXE,KLX ENERGY SVCS HLDGS INC COM ,CIK0001738827
KVHI,KVH INDUSTRIES INC,CIK0001007587
KRTX,KARUNA THERAPEUTICS INC COM,CIK0001771917
KPLT,KATAPULT HLDGS INC (DE),CIK0001785424
KRNY,KEARNY FINANCIAL CORP MD COM,CIK0001617242
KIQ,KELSO TECHNOLOGIES INC NEW ORD,CIK0001161814
KMT,KENNAMETAL INC,CIK0000055242
KEYS,KEYSIGHT TECHNOLOGIES INC COM ,CIK0001601046
KFRC,KFORCE INC,CIK0000930420
KRP,KIMBELL ROYALTY PARTNERS LP UN,CIK0001657788
TGR,KIMBELL TIGER ACQUISITION CORP,CIK0001863099
KIM,KIMCO REALTY CORPORATION,CIK0000879101
KMI,KINDER MORGAN INC (DE),CIK0001506307
KGC,KINROSS GOLD CORP NEW,CIK0000701818
KNSL,KINSALE CAP GROUP INC COM,CIK0001669162
KPRX,KIORA PHARMACEUTICALS INC COM ,CIK0001372514
KEX,KIRBY CORPORATION,CIK0000056047
KSS,KOHLS CORP,CIK0000885639
DNUT,KRISPY KREME INC COM,CIK0001857154
KR,KROGER CO,CIK0000056873
LPL,LG DISPLAY CO LTD ADS REPSTG C,CIK0001290109
LGIH,LGI HOMES INC COM,CIK0001580670
SCD,LMP CAPITAL AND INCOME FUND IN,CIK0001270131
LHX,L3 HARRIS TECHNOLOGIES INC COM,CIK0000202058
LADR,LADDER CAPITAL CORP CL A,CIK0001577670
LW,LAMB WESTON HLDGS INC COM STK ,CIK0001679273
LSEAW,LANDSEA HOMES CORP WT EXP (DE),CIK0001721386
LCI,LANNETT INC COM NEW,CIK0000057725
LAUR,LAUREATE ED INC COM,CIK0000912766
LFLYW,LEAFLY HLDGS INC WT EXP 11/07/,CIK0001785592
LEGH,LEGACY HSG CORP COM (TX),CIK0001436208
LNSR,LENSAR INC,CIK0001320350
LEVI,LEVI STRAUSS & CO NEW CL A,CIK0000094845
LEXXW,LEXARIA BIOSCIENCE CORP,CIK0001348362
LBRDP,LIBERTY BROADBAND CORP CUM RED,CIK0001611983
LSXMA,LIBERTY MEDIA CORP DELCOM SER ,CIK0001560385
BATRA,LIBERTY MEDIA CORP DEL COM SER,CIK0001560385
LBSR,LIBERTY STAR URANIUM & METALS ,CIK0001172178
LTRPA,LIBERTY TRIPADVISOR HLDGS INC ,CIK0001606745
LFMD,LIFEMD INC,CIK0000948320
LFVN,LIFEVANTAGE CORPORATION COMMON,CIK0000849146
LSI,LIFE STORAGE INC COM (MD),CIK0000944314
LLY,ELI LILLY AND CO;COM NPV,CIK0000059478
LNC,LINCOLN NATIONAL CORP,CIK0000059558
LIPO,LIPELLA PHARMACEUTICALS INC,CIK0001347242
LQMT,LIQUIDMETAL TECHNOLOGIES INC,CIK0001141240
RAMP,LIVERAMP HLDGS INC COM (DE),CIK0000733269
LVOX,LIVEVOX HLDGS INC CL A,CIK0001723648
JSGRY,LIXIL CORP AMERICAN DEPOSITARY,CIK0001442656
LXEH,LIXIANG ED HLDG CO LTD SPONSOR,CIK0001814067
LBPH,LONGBOARD PHARMACEUTICALS INC ,CIK0001832168
LTRY,LOTTERY INC COM (DE),CIK0001673481
LOW,LOWES COMPANIES INC,CIK0000060667
LBC,LUTHER BURBANK CORP COM,CIK0001475348
LYSDY,LYNAS RARE EARTHS LIMITED AMER,CIK0001444327
LYRA,LYRA THERAPEUTICS INC COM,CIK0001327273
MBI,MBIA INC,CIK0000814585
MDC,M.D.C. HOLDINGS INC,CIK0000773141
MKSI,MKS INSTRUMENTS INC,CIK0001049502
MSA,MSA SAFETY INC COM STK (PA),CIK0000066570
MYRG,MYR GROUP INC COM STK (DE),CIK0000700923
MCBC,MACATAWA BANK CORP,CIK0001053584
MFD,MACQUARIE/FIRST TR GLOBAL INFR,CIK0001276469
MGNX,MACROGENICS INC,CIK0001125345
M,MACY'S INC.,CIK0000794367
SHOO,MADDEN (STEVEN) LTD,CIK0000913241
MGY,MAGNOLIA OIL & GAS CORP CL A (,CIK0001698990
MANH,MANHATTAN ASSOCIATES INC,CIK0001056696
MTW,MANITOWOC CO INC COM STK NEW (,CIK0000061986
MNKD,MANNKIND CORP,CIK0000899460
MRO,MARATHON OIL CORP,CIK0000101778
MPC,MARATHON PETE CORP COM STK (DE,CIK0001510295
MRVI,MARAVAI LIFESCIENCES HLDGS INC,CIK0001823239
MCHX,MARCHEX INC,CIK0001224133
MKTX,MARKET,CIK0001278021
MRTN,MARTEN TRANSPORT LTD,CIK0000799167
MMLP,MARTIN MIDSTREAM PARTNERS L P ,CIK0001176334
MAS,MASCO CORP,CIK0000062996
GWAV,GREENWAVE TECHNOLOGY SOLUTIONS,CIK0001589149
TRLFF,MAVEN BRANDS INC COM NEW (CANA,CIK0001698370
MAXR,MAXAR TECHNOLOGIES INC COM SHS,CIK0001121142
MKC,MCCORMICK & CO INC NON-VTG COM,CIK0000063754
MCD,MCDONALDS CORP,CIK0000063908
MUX,MCEWEN MNG INC COM NEW,CIK0000314203
MDXH,MDXHEALTH SA SPONSORED ADR (BE,CIK0001872529
MFIN,MEDALLION FINL CORP,CIK0001000209
MMNFF,MEDMEN ENTERPRISES I (CANADA) ,CIK0001776932
MBINN,MERCHANTS BANCORP IND DEP SHS ,CIK0001629019
MRBK,MERIDIAN CORPORATION COMMON ST,CIK0001750735
MTH,MERITAGE HOMES CORPORATION,CIK0000833079
MTR,MESA ROYALTY TR UTBEN INT,CIK0000313364
MET,"METLIFE, INC",CIK0001099219
MCBS,SEFTON RESOURCES INC ORDINARY ,CIK0001747068
MTD,METTLER-TOLEDO INT'L INC,CIK0001037646
MSFT,MICROSOFT CORP;COM USD0.000012,CIK0000789019
MSTR,MICROSTRATEGY INC CL A NEW,CIK0001050446
MMTIF,MICROMEM TECHNOLOGIES INC,CIK0001085921
MPB,"MID PENN BANCORP,INC",CIK0000879635
MSBI,MIDLAND STS BANCORP INC ILL CO,CIK0001466026
MSBIP,MIDL.STS BANC.INC ILL DEP.SHS ,CIK0001466026
MLKN,"MILLERKNOLL, INC. COMMON STOCK",CIK0000066382
MLR,MILLER INDUSTRIES INC. (NEW),CIK0000924822
MDXG,"MIMEDX GROUP, INC (US)",CIK0001376339
MNRLF,MINERAL MTN RES LTD (CANADA),CIK0001555746
UTRS,MINERVA SURGICAL INC,CIK0001452965
AVO,MISSION PRODUCE INC,CIK0001802974
MITK,MITEK SYSTEMS INC,CIK0000807863
MFON,MOBIVITY HOLDINGS CORP COMMON ,CIK0001447380
MOBQW,MOBIQUITY TECHNOLOGIES INC WT ,CIK0001084267
MODN,MODEL N INC COM STK (DE),CIK0001118417
MRNA,MODERNA INC COM,CIK0001682852
MOD,MODINE MFG CO,CIK0000067347
MDV,MODIV INC CL C (MD),CIK0001645873
MC,MOELIS & CO CL A COM STK (DE) ,CIK0001596967
MOGO,MOGO INC COM (CAN),CIK0001602842
MOGU,MOGU INC ADR NEW,CIK0001743971
MOH,"MOLINA HEALTHCARE,INC.",CIK0001179929
MTEM,MOLECULAR TEMPLATES INC,CIK0001183765
TAP,MOLSON COORS BEVERAGE COMPANY ,CIK0000024545
MDB,MONGODB INC,CIK0001441816
ML,MONEYLION INC CL A ( DE ),CIK0001807846
MS,MORGAN STANLEY,CIK0000895421
MORN,MORNINGSTAR INC COM,CIK0001289419
MCAFR,MOUNTAIN CREST ACQUISITION COR,CIK0001853774
MURF,MURPHY CANYON ACQUISITION CORP,CIK0001896212
GRIL,MUSCLE MAKER INC COM STK (CA) ,CIK0001701756
MBIO,MUSTANG BIO INC COM,CIK0001680048
MBIO,MUSTANG BIO INC COM NEW (DE),CIK0001680048
MYNA,MYNARIC AG ADS (DEU),CIK0001850453
NABL,N-ABLE INC COM,CIK0001834488
NCSM,NCS MULTISTAGE HLDGS INC COM N,CIK0001692427
NSSC,NAPCO SECURITY TECHNOLOGIES IN,CIK0000069633
NDAQ,NASDAQ INC.COM STK,CIK0001120193
NATH,NATHANS FAMOUS INC,CIK0000069733
NGG,NATIONAL GRID PLC SPONSORED AD,CIK0001004315
NATI,NATL INSTRUMENTS CORP,CIK0000935494
NNN,"NATIONAL RETAIL PROPERTIES, IN",CIK0000751364
NRUC,NATIONAL RURAL UTILS COOP FIN ,CIK0000070502
NWLI,NATIONAL WESTN LIFE GROUP INC ,CIK0001635984
NATR,NATURE'S SUNSHINE PRODUCTS INC,CIK0000275053
NTZ,NATUZZI S P A SPONSORED ADR NE,CIK0000900391
KITTW,NAUTICUS ROBOTICS INC WT EXP (,CIK0001849820
NVTS,NAVITAS SEMICONDUCTOR CORP (DE,CIK0001821769
NMRD,NEMAURA MED INC COM NEW,CIK0001602078
NTAP,NETAPP INC COM STK (DE),CIK0001002047
NTES,NETEASE INC ADS (CYM),CIK0001110646
NTGR,NETGEAR INC,CIK0001122904
NLST,"NETLIST, INC. COM STK",CIK0001282631
NURO,NEUROMETRIX INC COM PAR $.0001,CIK0001289850
STIM,NEURONETICS INC COM,CIK0001227636
NBSE,NEUBASE THERAPEUTICS INC COM,CIK0001173281
NBXG,NEUBERGER BERMAN NEXT GENERATI,CIK0001843181
HYB,"NEW AMERICA HIGH INCOME FUND, ",CIK0000825345
NFGC,NEW FOUND GOLD CORP (CANADA),CIK0001840616
NEWP,NEW PAC METALS CORP COM (CAN) ,CIK0001369085
RITM,RITHM CAPITAL CORP COMMON STOC,CIK0001556593
NYMTM,NEW YORK MTG TR INC CUMULATIVE,CIK0001273685
NCMGY,NEWCREST MINING LTD SPON ADR,CIK0000899611
NEU,NEWMARKET COPR (HOLDING COMPAN,CIK0001282637
NEM,NEWMONT CORPORATION,CIK0001164727
NWS,NEWS CORP NEW CL B COM STK (DE,CIK0001564708
NEP,"NEXERA ENERGY PARTNERS, LP COM",CIK0001603145
NIMC,NISOURCE INC CORP UNIT (IN),CIK0001111711
NKTX,NKARTA INC COM,CIK0001787400
NDLS,NOODLES & CO CL A COM STK (DE),CIK0001275158
NSC,NORFOLK SOUTHERN CORP,CIK0000702165
NRIS,NORRIS INDS INC,CIK0001603793
NAFS,NORTH AMER FRAC SAND INC COM (,CIK0001409253
NWBI,"NORTHWEST BANCSHARES, INC COM ",CIK0001471265
NWN,NORTHWEST NAT HLDG CO COM (OR),CIK0001733998
NWE,NORTHWESTERN CORP,CIK0000073088
NWFL,NORWOOD FINANCIAL CORP,CIK0001013272
NVS,NOVARTIS AG ADS(1 REG SH),CIK0001114448
NOVN,NOVAN INC COM NEW (DE),CIK0001467154
NSRPF,NOVO RES CORP COMMON SHARES (C,CIK0001536674
NUE,NUCOR CORP,CIK0000073309
SPXX,NUVEEN S&P 500 DYNAMIC OVERWRI,CIK0001338561
NMT,NUVEEN MASS QUALITY MUN INCOME,CIK0000897419
NCA,NUVEEN CALIF MUN VALUE FUND,CIK0000818851
NXN,NUVEEN INSD NY SLCT TX FR INCO,CIK0000885731
NIQ,NUVEEN INTER DURATION QUALITY ,CIK0001564584
JPS,NUVEEN PREFERRED & INCOME SECU,CIK0001176433
JSD,NUVEEN SHORT DURATION CR,CIK0001509253
DIAX,NUVEEN DOW 30SM DYNAMIC OVERWR,CIK0001608742
NVVEW,NUVVE HOLDING CORP WT EXP,CIK0001836875
OGE,OGE ENERGY CORP (HOLDING CO.) ,CIK0001021635
JCE,NUVEEN CORE EQUITY ALPHA FD CO,CIK0001385763
NLBS,NUTRALIFE BIOSCIENCES INC COM ,CIK0001563463
OFS,OFS CAP CORP COM STK,CIK0001487918
OFG,OFG BANCORP COM,CIK0001030469
OCCI,OFS CR CO INC COM (DE),CIK0001716951
OTLY,OATLY GROUP AB SPONSORED ADS (,CIK0001843586
OBLG,OBLONG INC COM (DE),CIK0000746210
OPTT,OCEAN PWR TECHNOLOGIES INC COM,CIK0001378140
OCFCP,OCEANFIRST FIN CORP DEP SH REP,CIK0001004702
OCEA,"OCEAN BIOMEDICAL, INC. COM",CIK0001836612
OKTA,OKTA INC CL A (DE),CIK0001660134
ODFL,OLD DOMINION FREIGHT LINES INC,CIK0000878927
OSBC,OLD SECOND BANCORP INC,CIK0000357173
OMC,OMNICOM GROUP INC,CIK0000029989
OMQS,OMNIQ CORP COM,CIK0000278165
ON,ON SEMICONDUCTOR CORP,CIK0001097864
OCX,ONCOCYTE CORPORATION COMMON ST,CIK0001642380
OLP,ONE LIBERTY PROPERTIES INC,CIK0000712770
OCFT,ONECONNECT FINL TECHNOLOGY CO ,CIK0001780531
OWPC,"ONE WORLD PRODUCTS, INC. COMMO",CIK0001622244
OKE,ONEOK INC (NEW),CIK0001039684
OSPN,ONESPAN INC COM,CIK0001044777
OTEX,OPEN TEXT CORP,CIK0001002638
OPY,OPPENHEIMER HOLDINGS INC CL A ,CIK0000791963
ORAN,ORANGE SPONSORED ADR,CIK0001038143
OSUR,ORASURE TECHNOLOGIES INC,CIK0001116463
ONVO,ORGANOVOINC HLDGS COM NEW,CIK0001497253
ONL,ORION OFFICE REIT INC COM,CIK0001873923
ORLA,ORLA MNG LTD NEW (CANADA),CIK0001680056
OR,OSISKO GOLD ROYALTIES LTD ORD ,CIK0001627272
OTIS,OTIS WORLDWIDE CORP COM,CIK0001781335
OMI,OWENS & MINOR INC (HLDG CO),CIK0000075252
OXLCN,OXFORD LANE CAP CORP PFD SER 2,CIK0001495222
OXSQZ,OXFORD SQUARE CAP CORP 6.25%,CIK0001259429
OXSQG,OXFORD SQUARE CAP CORP NT,CIK0001259429
PBBK,PB BANKSHARES INC COM (MD),CIK0001849670
PCG,PG&E CORPORATION (HOLDING CO.),CIK0001004980
PPG,PPG INDUSTRIES INC,CIK0000079879
PMVP,PMV PHARMACEUTICALS INC,CIK0001699382
PVH,PVH CORP COM STK (DE),CIK0000078239
PCRX,PACIRA BIOSCIENCES INC COM,CIK0001396814
PTVE,PACTIV EVERGREEN INC,CIK0001527508
PLTR,PALANTIR TECHNOLOGIES INC CL A,CIK0001321655
PANW,"PALO ALTO NETWORKS, INC",CIK0001327567
PLMR,PALOMAR HLDGS INC COM (DE),CIK0001761312
PAR,PAR TECHNOLOGY CORP,CIK0000708821
PGRE,PARAMOUNT GROUP INC COM STK (D,CIK0001605607
PK,PARK HOTELS & RESORTS INC COM ,CIK0001617406
PSN,PARSONS CORP DEL,CIK0000275880
PNBK,PATRIOT NATL BANCORP INC COM S,CIK0001098146
PDCO,PATTERSON COMPANIES INC,CIK0000891024
PTEN,PATTERSON-UTI ENERGY INC,CIK0000889900
PAYX,PAYCHEX INC,CIK0000723531
PCTY,PAYLOCITY HOLDING CORP COM STK,CIK0001591698
PAYS,PAYSIGN INC COM (NV),CIK0001496443
PAYOW,PAYONEER GLOBAL INC WT EXP,CIK0001845815
